,Question,A,B,C,D,Answer,Qwen Flash,Qwen Plus,Qwen3 max,Gemini 2.5 Flash Lite,Gemini 3 Flash,Gemini 3 Pro,Claude Sonnet 4.5,Claude Haiku 4.5,Claude Opus 4.5
159,"1.已知集合 $A=\{1,2,3,5,7,11\}, B=\{x \mid 3<x<15\}$, 则 $A \cap B$ 中元素的个数为（）",2,3,4,5,B,,,,"answer: wrong (C)
token: 111, 110, 1
time: 1.0s",,,,,
160,"2. 若 $\bar{z}(1+i)=1-i$, 则 $z=(\quad)$",$1-i$,$1+i$,$-i$,$i$,D,,,,"answer: wrong (A)
token: 590, 94, 496
time: 3.0s",,,,,
161,"3. 设一组样本数据 $x_{1}, x_{2}, \ldots, x_{n}$ 的方差为 0.01 , 则数据 $10 x_{1}, 10 x_{2}, \ldots, 10 x_{n}$ 的方差为 $($ )",0.01,0.1,1,10,C,,,,"answer: right
token: 136, 135, 1
time: 1.0s",,,,,
162,"4.Logistic 模型是常用数学模型之一, 可应用于流行病学领城. 有学者根据公布数据建立了某 地区新冠肺炎累计确诊病例数 $I(t)\left(t\right.$ 的单位: 天)的 Logistic 模型: $I(t)=\frac{K}{1+\mathrm{e}^{-0.23(t-53)}}$, 其中 $K$ 为最大确诊病例数. 当 $I\left(t^{*}\right)=0.95 K$ 时，标志着已初步遏制疫情, 则 $t^{*}$ 约为 $(\quad) \quad(\ln 19 \approx 3)$",60,63,66,69,C,,,,"answer: wrong (B)
token: 207, 206, 1
time: 1.1s",,,,,
163,"5. 已知 $\sin \theta+\sin \left(\theta+\frac{\pi}{3}\right)=1$, 则 $\sin \left(\theta+\frac{\pi}{6}\right)=(\quad)$",$\frac{1}{2}$,$\frac{\sqrt{3}}{3}$,$\frac{2}{3}$,$\frac{\sqrt{2}}{2}$,B,,,,"answer: wrong (A)
token: 670, 131, 539
time: 2.8s",,,,,
164,"7. 设 $O$ 为坐标原点, 直线 $x=2$ 与抛物线 $C: y^{2}=2 p x(p>0)$ 交于 $D, E$ 两点, 若 $O D \perp O E$, 则 $C$ 的焦点坐标为 $(\quad)$","$\left(\frac{1}{4}, 0\right)$","$\left(\frac{1}{2}, 0\right)$","$(1,0)$","$(2,0)$",B,,,,"answer: wrong (A)
token: 706, 162, 544
time: 4.1s",,,,,
165,"8.点 $(0,-1)$ 到直线 $y=k(x+1)$ 距离的最大值为 $(\quad)$",1,$\sqrt{2}$,$\sqrt{3}$,2,B,,,,"answer: wrong (A)
token: 2904, 96, 2808
time: 11.6s",,,,,
166,"10. 设 $a=\log _{3} 2, b=\log _{5} 3, c=\frac{2}{3}$, 则 $(\quad)$",$a<c<b$,$a<b<c$,$b<c<a$,$c<a<b$,A,,,,"answer: right
token: 841, 120, 721
time: 2.3s",,,,,
167,"11. 在 $\triangle A B C$ 中, $\cos C=\frac{2}{3}, A C=4, B C=3$, 则 $\tan B=(\quad)$",$\sqrt{5}$,$2 \sqrt{5}$,$4 \sqrt{5}$,$8 \sqrt{5}$,C,,,,"answer: wrong (A)
token: 951, 121, 830
time: 3.9s",,,,,
168,"12. 已知函数 $f(x)=\sin x+\frac{1}{\sin x}$, 则 $(\quad)$",$f(x)$ 的最小值为 2,$f(x)$ 的图像关于 $y$ 轴对称,$f(x)$ 的图像关于直线 $x=\pi$ 对称,$f(x)$ 的图像关于直线 $x=\frac{\pi}{2}$ 对称,D,,,,"answer: wrong (A)
token: 142, 141, 1
time: 0.9s",,,,,
169,"1. 已知集合 $A=\left\{x \mid x^{2}-3 x-4<0\right\}, B=\{-4,1,3,5\}$, 则 $\left.A \cap B=（ \quad\right)$","$\{-4,1\}$","$\{1,5\}$","$\{3,5\}$","$\{1,3\}$",D,,,,"answer: wrong (A)
token: 638, 129, 509
time: 3.4s",,,,,
170,2. 若 $z=1+2 i+i^{3}$ ，则 $|z|=(\quad)$,0,1,$\sqrt{2}$,2,C,,,,"answer: wrong (B)
token: 91, 90, 1
time: 1.4s",,,,,
171,"6. 已知圆 $x^{2}+y^{2}-6 x=0$, 过点 $(1,2)$ 的直线被该圆所截得的弦的长度的最小值为 ( )",1,2,3,4,B,,,,"answer: wrong (C)
token: 108, 107, 1
time: 1.3s",,,,,
172,8. 设 $a \log _{3} 4=2$ ，则 $4^{-a}=(\quad)$,$\frac{1}{16}$,$\frac{1}{9}$,$\frac{1}{8}$,$\frac{1}{6}$,B,,,,"answer: wrong (A)
token: 775, 110, 665
time: 3.2s",,,,,
173,"10. 设 $\left\{a_{n}\right\}$ 是等比数列, 且 $a_{1}+a_{2}+a_{3}=1, a_{2}+a_{3}+a_{4}=2$, 则 $a_{6}+a_{7}+a_{8}=(\quad)$",12,24,30,32,D,,,,"answer: wrong (A)
token: 1372, 134, 1238
time: 6.1s",,,,,
174,"11. 设 $F_{1}, F_{2}$ 是双曲线 $C: x^{2}-\frac{y^{2}}{3}=1$ 的两个焦点, $O$ 为坐标原点, 点 $P$ 在 $C$ 上且 $|O P|=2$, 则 $\triangle P F_{1} F_{2}$ 的面积为 ( )",$\frac{7}{2}$,3,$\frac{5}{2}$,2,B,,,,"answer: wrong (A)
token: 1046, 153, 893
time: 3.7s",,,,,
175,"1.已知集合 $A=\{x|| x \mid<3, x \in Z\}, B=\{x|| x \mid>1, x \in Z\}$, 则 $A \cap B=(\quad)$",$\varnothing$,"$\{-3,-2,2,3)$","$\{-2,0,2\}$","$\{-2,2\}$",D,,,,"answer: right
token: 128, 127, 1
time: 1.5s",,,,,
176,2. $(1-\mathrm{i})^{4}=(\quad)$,-4,4,$-4 i$,$4 i$,A,,,,"answer: right
token: 82, 81, 1
time: 0.5s",,,,,
177,"4.在新冠肺炎疫情防控期间，某超市开通网上销售业务，每天能完成1200份订单的

配货, 由于订单量大幅增加, 导致订单积压.为解决困难, 许多志愿者踊跃报名参加配货工作.已知该超市 某日积压 500 份订单末配货, 预计第二天的新订单超过 1600 份的概率为 0.05 , 志愿者每人每天能完成 50 份订 单的配货, 为使第二天完成积压订单及当日订单的配货的概率不小于 0.95 , 则至少需要志愿者（）",10 名,18 名,24名,32 名,B,,,,"answer: wrong (C)
token: 218, 217, 1
time: 1.3s",,,,,
178,"5.已知单位向量 $\boldsymbol{a}, \boldsymbol{b}$ 的夹角为 $60^{\circ}$, 则在下列向量中, 与 $\boldsymbol{b}$ 垂直的是（）",$\boldsymbol{a}+2 \boldsymbol{b}$,$2 \boldsymbol{a}+\boldsymbol{b}$,$\boldsymbol{a}-2 \boldsymbol{b}$,$2 \boldsymbol{a}-\boldsymbol{b}$,D,,,,"answer: wrong (B)
token: 864, 142, 722
time: 2.8s",,,,,
179,"6. 记 $S_{n}$ 为等比数列 $\left\{a_{n}\right\}$ 的前 $n$ 项和. 若 $a_{5}-a_{3}=12, a_{6}-a_{4}=24$, 则 $\frac{S_{n}}{a_{n}}=(\quad)$",$2^{n}-1$,$2-2^{1-n}$,$2-2^{n-1}$,$2^{1-n}-1$,B,,,,"answer: wrong (A)
token: 984, 159, 825
time: 3.0s",,,,,
180,"8. 若过点 $(2,1)$ 的圆与两坐标轴都相切, 则圆心到直线 $2 x-y-3=0$ 的距离为 ( )",$\frac{\sqrt{5}}{5}$,$\frac{2 \sqrt{5}}{5}$,$\frac{3 \sqrt{5}}{5}$,$\frac{4 \sqrt{5}}{5}$,B,,,,"answer: wrong (A)
token: 1225, 138, 1087
time: 6.2s",,,,,
181,"9. 设 $O$ 为坐标原点, 直线 $x=a$ 与双曲线 $C: \frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0, b>0)$ 的两条渐近线分别交于 $D, E$ 两点, 若 $\square O D E$ 的面积为 8 , 则 $C$ 的焦距的最小值为 ( )",4,8,16,32,B,,,,"answer: wrong (C)
token: 164, 163, 1
time: 1.3s",,,,,
182,"10. 设函数 $f(x)=x^{3}-\frac{1}{x^{3}}$, 则 $f(x)(\quad)$","是奇函数, 且在 $(0,+\infty)$ 单调递增","是奇函数, 且在 $(0,+\infty)$ 单调递减","是偶函数, 且在 $(0,+\infty)$ 单调递增","是偶函数, 且在 $(0,+\infty)$ 单调递减",A,,,,"answer: right
token: 152, 151, 1
time: 0.9s",,,,,
183,"11.已知 $\triangle A B C$ 是面积为 $\frac{9 \sqrt{3}}{4}$

的等边三角形, 且其顶点都在球 $O$ 的球面上. 若球 $O$ 的表面积为 $16 \pi$, 则 $O$ 到平面 $A B C$ 的距离为（）",$\sqrt{3}$,$\frac{3}{2}$,1,$\frac{\sqrt{3}}{2}$,C,,,,"answer: wrong (A)
token: 919, 153, 766
time: 3.6s",,,,,
184,12. 若 $2^{x}-2^{y}<3^{-x}-3^{-y}$ ，则 $(\quad)$,$\ln (y-x+1)>0$,$\ln (y-x+1)<0$,$\ln |x-y|>0$,$\ln |x-y|<0$,A,,,,"answer: right
token: 8324, 122, 8202
time: 23.9s",,,,,
185,"1. 设集合 $M=\{1,3,5,7,9\}, N=\{x \mid 2 x>7\}$, 则 $M \cap N=(\quad)$","$\{7,9\}$","$\{5,7,9\}$","$\{3,5,7,9\}$","$\{1,3,5,7,9\}$",B,,,,"answer: right
token: 127, 126, 1
time: 0.6s",,,,,
186,"3. 已知 $(1-i)^{2} z=3+2 i$, 则 $z=(\quad)$",$-1-\frac{3}{2} i$,$-1+\frac{3}{2} i$,$-\frac{3}{2}+i$,$-\frac{3}{2}-i$,B,,,,"answer: wrong (A)
token: 551, 120, 431
time: 1.6s",,,,,
187,4. 下列函数中是增函数的为 $(\quad ）$,$f(x)=-x$,$f(x)=\left(\frac{2}{3}\right)^{x}$,$f(x)=x^{2}$,$f(x)=\sqrt[3]{x}$,D,,,,"answer: right
token: 115, 114, 1
time: 0.6s",,,,,
188,"5. 点 $(3,0)$ 到双曲线 $\frac{x^{2}}{16}-\frac{y^{2}}{9}=1$ 的一条渐近线的距离为 $(\quad)$",$\frac{9}{5}$,$\frac{8}{5}$,$\frac{6}{5}$,$\frac{4}{5}$,A,,,,"answer: wrong (C)
token: 126, 125, 1
time: 0.8s",,,,,
189,"6. 青少年视力是社会普遍关注的问题, 视力情况可借助视力表测量. 通常用五分记录法和小数记录法记录 视力数据, 五分记录法的数据 $L$ 和小数记录表的数据 $V$ 的满足 $L=5+\lg V$. 已知某同学视力的五分记录法 的数据为 4.9 , 则其视力的小数记录法的数据为 $(\quad) \quad(\sqrt[10]{10} \approx 1.259)$",1.5,1.2,0.8,0.6,C,,,,"answer: right
token: 189, 188, 1
time: 0.9s",,,,,
190,"8. 在 $\triangle A B C$ 中, 已知 $B=120^{\circ}, A C=\sqrt{19}, A B=2$, 则 $B C=(\quad)$",1,$\sqrt{2}$,$\sqrt{5}$,3,D,,,,"answer: wrong (C)
token: 113, 112, 1
time: 0.9s",,,,,
191,"9. 记 $S_{n}$ 为等比数列 $\left\{a_{n}\right\}$ 的前 $n$ 项和. 若 $S_{2}=4, S_{4}=6$, 则 $S_{6}=(\quad)$",7,8,9,10,A,,,,"answer: right
token: 1755, 117, 1638
time: 6.9s",,,,,
192,"10. 将 3 个 1 和 2 个 0 随机排成一行, 则 2 个 0 不相邻的概率为 $($ ）",0.3,0.5,0.6,0.8,C,,,,"answer: right
token: 107, 106, 1
time: 0.8s",,,,,
193,"11. 若 $a \in\left(0, \frac{\pi}{2}\right), \tan 2 a=\frac{\cos a}{2-\sin a}$, 则 $\tan a=(\quad)$",$\frac{\sqrt{15}}{15}$,$\frac{\sqrt{5}}{5}$,$\frac{\sqrt{5}}{3}$,$\frac{\sqrt{15}}{3}$,A,,,,"answer: right
token: 2369, 140, 2229
time: 6.3s",,,,,
194,"12. 设 $f(x)$ 是定义域为 $\boldsymbol{R}$ 的奇函数, 且 $f(1+x)=f(-x)$. 若 $f\left(-\frac{1}{3}\right)=\frac{1}{3}$, 则 $f\left(\frac{5}{3}\right)=(\quad)$",$-\frac{5}{3}$,$-\frac{1}{3}$,$\frac{1}{3}$,$\frac{5}{3}$,C,,,,"answer: wrong (A)
token: 1367, 156, 1211
time: 4.5s",,,,,
195,"3.已知命题 $p: \exists x \in R, \sin x<1$; 命题 $q: \forall x \in R, e^{|x|} \geq 1$, 则下列命题中为真命题的是 ( )",$p \wedge q$,$\neg p \wedge q$,$p \wedge \neg q$,$\neg(p \vee q)$,A,,,,"answer: right
token: 796, 141, 655
time: 3.8s",,,,,
196,4.函数 $f(x)=\sin \frac{x}{3}+\cos \frac{x}{3}$ 的最小正周期和最大值分别是 $(\quad)$,$3 \pi$ 和 $\sqrt{2}$,$3 \pi$ 和 2,$6 \pi$ 和 $\sqrt{2}$,$6 \pi$ 和 2,C,,,,"answer: wrong (A)
token: 130, 129, 1
time: 1.4s",,,,,
197,6. $\cos ^{2} \frac{\pi}{12}-\cos ^{2} \frac{5 \pi}{12}=(\quad)$,$\frac{1}{2}$,$\frac{\sqrt{3}}{3}$,$\frac{\sqrt{2}}{2}$,$\frac{\sqrt{3}}{2}$,D,,,,"answer: right
token: 122, 121, 1
time: 2.2s",,,,,
198,"7. 在区间 $\left(0, \frac{1}{2}\right)$ 随机取 1 个数, 则取到的数小于 $\frac{1}{3}$ 的概率为 $(\quad)$",$\frac{3}{4}$,$\frac{2}{3}$,$\frac{1}{3}$,$\frac{1}{6}$,B,,,,"answer: wrong (C)
token: 129, 128, 1
time: 0.6s",,,,,
199,8. 下列函数中最小值为 4 的是（ ）,$y=x^{2}+2 x+4$,$y=|\sin x|+\frac{4}{|\sin x|}$,$y=2^{x}+2^{2-x}$,$y=\ln x+\frac{4}{\ln x}$,C,,,,"answer: right
token: 124, 123, 1
time: 1.1s",,,,,
200,"9. 设函数 $f(x)=\frac{1-x}{1+x}$, 则下列函数中为奇函数的是 $(\quad)$",$f(x-1)-1$,$f(x-1)+1$,$f(x+1)-1$,$f(x+1)+1$,B,,,,"answer: wrong (A)
token: 1137, 123, 1014
time: 3.2s",,,,,
201,"11. 设 $B$ 是椭圆 $C: \frac{x^{2}}{5}+y^{2}=1$ 的上顶点, 点 $P$ 在 $C$ 上, 则 $|P B|$ 的最大值为",$\frac{5}{2}$,$\sqrt{6}$,$\sqrt{5}$,2,A,,,,"answer: wrong (B)
token: 127, 126, 1
time: 1.5s",,,,,
202,"12. 设 $a \neq 0$, 若 $x=a$ 为函数 $f(x)=a(x-a)^{2}(x-b)$ 的极大值点, 则",$a<b$,$a>b$,$a b<a^{2}$,$a b>a^{2}$,D,,,,"answer: wrong (A)
token: 6768, 125, 6643
time: 26.4s",,,,,
203,"1. 集合 $M=\{2,4,6,8,10\}, N=\{x \mid-1<x<6\}$, 则 $M \cap N=()$","$\{2,4\}$","$\{2,4,6\}$","$\{2,4,6,8\}$","$\{2,4,6,8,10\}$",A,,,,"answer: right
token: 129, 128, 1
time: 1.1s",,,,,
204,"2. 设 $(1+2 \mathrm{i}) a+b=2 \mathrm{i}$, 其中 $a, b$ 为实数, 则（)","$a=1, b=-1$","$a=1, b=1$","$a=-1, b=1$","$a=-1, b=-1$",A,,,,"answer: wrong (B)
token: 129, 128, 1
time: 1.4s",,,,,
205,"3. 已知向量 $\vec{a}=(2,1), \vec{b}=(-2,4)$, 则 ||$^{\prime} a-b \mid$ ()",2,3,4,5,D,,,,"answer: wrong (A)
token: 434, 100, 334
time: 2.0s",,,,,
206,"4. 分别统计了甲、乙两位同学 16 周的各周课外体育运动时长 (单位: $\mathrm{h}$ ), 得如下茎叶图:

\begin{tabular}{|c|c|c|}
\hline 甲 & & 乙 \\
\hline 61 & 5. & . \\
\hline 8530 & 6. & 3 \\
\hline 7532 & 7. & 46 \\
\hline 6421 & 8. & 12256666 \\
\hline \multirow[t]{2}{*}{42} & 9. & 0238 \\
\hline & 10. & 1 \\
\hline
\end{tabular}

则下列结论中错误的是 ()",甲同学周课外体育运动时长的样本中位数为 7.4,乙同学周课外体育运动时长的样本平均数大于 8,甲同学周课外体育运动时长大于 8 的概率的估计值大于 0.4,乙同学周课外体育运动时长大于 8 的概率的估计值大于 0.6,C,,,,"answer: wrong (A)
token: 5323, 313, 5010
time: 20.2s",,,,,
207,"6. 设 $F$ 为抛物线 $C: y^{2}=4 x$ 的焦点, 点 $A$ 在 $C$ 上, 点 $B(3,0)$, 若 $|A F|=|B F|$, 则 $|A B|=$ ()",2,$2 \sqrt{2}$,3,$3 \sqrt{2}$,B,,,,"answer: wrong (C)
token: 919, 131, 788
time: 2.1s",,,,,
208,"10. 已知等比数列 $\left\{a_{n}\right\}$ 的前 3 项和为 $168, a_{2}-a_{5}=42$, 则 $a_{6}=()$",14,12,6,3,D,,,,"answer: wrong (B)
token: 115, 114, 1
time: 1.2s",,,,,
209,"11. 函数 $f(x)=\cos x+(x+1) \sin x+1$ 在区间 $[0,2 \pi]$ 的最小值、最大值分别为 ()","$-\frac{\pi}{2}, \frac{\pi}{2}$","$-\frac{3 \pi}{2}, \frac{\pi}{2}$","$-\frac{\pi}{2}, \frac{\pi}{2}+2$","$-\frac{3 \pi}{2}, \frac{\pi}{2}+2$",D,,,,"answer: right
token: 1324, 158, 1166
time: 4.0s",,,,,
210,"12. 已知球 $O$ 的半径为 1 , 四棱雉的顶点为 $O$, 底面的四个顶点均在球 $O$ 的球面上, 则当该 四棱雉的体积最大时，其高为（)",$\frac{1}{3}$,$\frac{1}{2}$,$\frac{\sqrt{3}}{3}$,$\frac{\sqrt{2}}{2}$,C,,,,"answer: wrong (A)
token: 1122, 142, 980
time: 4.6s",,,,,
211,"1. 设集合 $A=\{-2,-1,0,1,2\}, B=\left\{x \mid 0 \leq x<\frac{5}{2}\right\}$, 则 $A \cap B=()$","$\{0,1,2\}$","$\{-2,-1,0\}$","$\{0,1\}$","$\{1,2\}$",A,,,,"answer: right
token: 131, 130, 1
time: 1.1s",,,,,
212,3. 若 $z=1+\mathrm{i}$. 则 $|\mathrm{i} z+3 \bar{z}|=()$,$4 \sqrt{5}$,$4 \sqrt{2}$,$2 \sqrt{5}$,$2 \sqrt{2}$,D,,,,"answer: wrong (C)
token: 113, 112, 1
time: 0.7s",,,,,
213,"5. 将函数 $f(x)=\sin \left(\omega x+\frac{\pi}{3}\right)(\omega>0)$ 的图像向左平移 $\frac{\pi}{2}$ 个单位长度后得到曲线 $C$, 若 $C$ 关于 $y$ 轴对称，则 $\omega$ 的最小值是（)",$\frac{1}{6}$,$\frac{1}{4}$,$\frac{1}{3}$,$\frac{1}{2}$,C,,,,"answer: right
token: 3482, 155, 3327
time: 10.2s",,,,,
214,"6. 从分别写有 $1,2,3,4,5,6$ 的 6 张卡片中无放回随机抽取 2 张, 则抽到的 2 张卡片上 的数字之积是 4 的倍数的概率为 ()",$\frac{1}{5}$,$\frac{1}{3}$,$\frac{2}{5}$,$\frac{2}{3}$,C,,,,"answer: wrong (A)
token: 2291, 141, 2150
time: 8.3s",,,,,
215,"8. 当 $x=1$ 时, 函数 $f(x)=a \ln x+\frac{b}{x}$ 取得最大值 -2 , 则 $f^{\prime}(2)=()$",-1,$-\frac{1}{2}$,$\frac{1}{2}$,1,B,,,,"answer: wrong (A)
token: 1012, 118, 894
time: 2.5s",,,,,
216,"11. 已知椭圆 $C: \frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ 的离心率为 $\frac{1}{3}, A_{1}, A_{2}$ 分别为 $C$ 的左、右顶点, $B$ 为 $C$ 的上顶点. 若 $\overrightarrow{B A_{1}} \cdot \overrightarrow{B A_{2}}=-1$, 则 $C$ 的方程为 ()",$\frac{x^{2}}{18}+\frac{y^{2}}{16}=1$,$\frac{x^{2}}{9}+\frac{y^{2}}{8}=1$,$\frac{x^{2}}{3}+\frac{y^{2}}{2}=1$,"$$
\frac{x^{2}}{2}+y^{2}=1
$$",B,,,,"answer: right
token: 244, 243, 1
time: 1.2s",,,,,
217,"12. 已知 $9^{m}=10, a=10^{m}-11, b=8^{m}-9$, 则 ()",$a>0>b$,$a>b>0$,$b>a>0$,$b>0>a$,A,,,,"answer: right
token: 5325, 117, 5208
time: 14.0s",,,,,
